paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
e9JphzQ5Gr,7.0,Accept,4.00,Reject,Reject,NO,0.021034,0.0000,6.0,2.0,6.0,4.0,2.0,,
gubSyVxWdG,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.027384,0.0000,8.0,2.0,8.0,6.0,,,
2hTLJEgCbv,2.5,Reject,1.00,Reject,Reject,YES,0.005337,0.0000,0.0,0.0,2.0,2.0,,,
SkmkGKEZ1U,3.0,Reject,0.50,Reject,Reject,YES,0.006638,0.0000,0.0,0.0,2.0,0.0,,,
Iq1fNZus2W,6.0,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,0.009650,0.0000,2.0,2.0,4.0,4.0,,,
RT5SlprCmc,6.0,Accept,4.50,Reject,Reject,NO,0.007139,0.0000,6.0,6.0,2.0,4.0,,,
1AYy3T3Xjk,4.0,Reject,2.50,Reject,Reject,YES,0.007307,0.0000,2.0,4.0,2.0,2.0,,,
hQZQVLJrH9,4.0,Reject,4.50,Withdrawn (treated as Reject),Reject,YES,0.022574,0.0000,4.0,2.0,6.0,6.0,,,
VmEkhV2yCX,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.021388,0.0000,4.0,4.0,6.0,6.0,,,
s7oURFZTQD,5.0,Reject,3.00,Reject,Reject,YES,0.010758,0.0000,2.0,2.0,4.0,4.0,,,
bm3rbtEMFj,6.5,Accept,5.00,Accept (Poster),Accept,YES,0.009157,0.0000,6.0,6.0,4.0,4.0,,,
OPFE1zPYbU,4.0,Reject,1.00,Reject,Reject,YES,0.008070,0.0000,0.0,2.0,0.0,2.0,,,
Rt9SeEAMWv,6.0,Accept,4.80,Reject,Reject,NO,0.010147,0.0000,6.0,4.0,2.0,6.0,6.0,,
OUQ8kLRK3m,6.0,Accept,4.00,Reject,Reject,NO,0.024357,0.0000,6.0,2.0,2.0,6.0,,,
2eAGrunxVz,7.0,Accept,7.50,Accept (Oral),Accept,YES,0.009657,0.0000,8.0,8.0,8.0,6.0,,,
ngOOlatCK6,6.0,Accept,5.33,Reject,Reject,NO,0.022629,0.0000,6.0,6.0,4.0,,,,
sJxBWDc8SM,6.0,Accept,3.50,Reject,Reject,NO,0.007923,0.0000,2.0,2.0,4.0,6.0,,,
wkVsKDnl4s,4.0,Reject,1.00,Reject,Reject,YES,0.008189,0.0000,2.0,0.0,2.0,0.0,,,
5o0zF03RP9,3.0,Reject,0.50,Withdrawn (treated as Reject),Reject,YES,0.018113,0.0000,2.0,0.0,0.0,0.0,,,
e26MPyczN9,6.0,Accept,4.00,Reject,Reject,NO,0.008148,0.0000,4.0,4.0,4.0,6.0,2.0,,
FEqZmGl36g,6.0,Accept,4.80,Reject,Reject,NO,0.020163,0.0000,6.0,4.0,2.0,6.0,6.0,,
qPbDM5L8tE,5.0,Reject,2.50,Reject,Reject,YES,0.008249,0.0000,2.0,2.0,2.0,4.0,,,
OAXECnLxuk,6.0,Accept,5.50,Accept (Poster),Accept,YES,0.008425,0.0000,6.0,4.0,6.0,6.0,,,
gTMzRm8fb0,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.022805,0.0000,4.0,8.0,4.0,4.0,,,
SzXDuBN8M1,7.0,Accept,7.50,Accept (Oral),Accept,YES,0.011047,0.0000,8.0,8.0,6.0,8.0,,,
pbbRmnFkjG,6.0,Accept,6.50,Accept (Poster),Accept,YES,0.007833,0.0000,8.0,4.0,8.0,6.0,,,
Vsgq2ldr4K,6.0,Accept,7.50,Accept (Oral),Accept,YES,0.009347,0.0000,8.0,8.0,6.0,8.0,,,
nHrYBGujps,7.0,Accept,7.50,Accept (Oral),Accept,YES,0.007876,0.0000,6.0,8.0,8.0,8.0,,,
32mrjmaeMP,7.0,Accept,4.50,Accept (Poster),Accept,YES,0.009720,0.0000,6.0,6.0,4.0,2.0,,,
70n4clRSTj,-100,Error,3.50,Withdrawn (treated as Reject),Reject,N/A,0.000000,0.0000,2.0,2.0,8.0,2.0,,,
khHNHzRjMy,5.5,Accept,3.00,Reject,Reject,NO,0.007645,0.0000,6.0,2.0,2.0,2.0,,,
omg9K6lI93,3.0,Reject,1.00,Reject,Reject,YES,0.007247,0.0000,2.0,0.0,2.0,0.0,,,
Vit5M0G5Gb,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.008414,0.0000,8.0,6.0,4.0,6.0,6.0,,
1CR1MTIgmq,4.0,Reject,0.00,Reject,Reject,YES,0.006851,0.0000,0.0,0.0,0.0,,,,
CrCPeM5fRB,3.0,Reject,3.50,Reject,Reject,YES,0.006880,0.0000,4.0,2.0,4.0,4.0,,,
ulXBsAYSwU,4.0,Reject,1.33,Withdrawn (treated as Reject),Reject,YES,0.006947,0.0000,2.0,2.0,0.0,,,,
b8TlYh6PN6,8.0,Accept,8.00,Accept (Oral),Accept,YES,0.023123,0.0000,8.0,8.0,8.0,8.0,,,
JhziZbaefH,4.0,Reject,2.50,Withdrawn (treated as Reject),Reject,YES,0.008471,0.0000,2.0,2.0,4.0,2.0,,,
4Mvdn1m861,4.0,Reject,3.50,Reject,Reject,YES,0.021626,0.0000,2.0,4.0,4.0,4.0,,,
KsmTaPygR9,6.5,Accept,5.50,Accept (Poster),Accept,YES,0.019109,0.0000,4.0,8.0,6.0,4.0,,,
